"","Reading","Computer","Sport","Walking","Travelling","Playing music","Volunteering","Mechanic","Gardening","Knitting","Cooking","Fishing","Sex","Age"
"2792","Reading","Computer","Sport","Walking","Travelling","Playing music","No volunteering","Mechanic","No gardening","No knitting","Cooking","No fishing","M","(25,35]"
"2793","Reading","No computer","No sport","Walking","No travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","Cooking","Fishing","M","(55,65]"
"2794","No reading","No computer","No sport","No walking","No travelling","No playing music","No volunteering","Mechanic","Gardening","No knitting","No cooking","Fishing","F","(55,65]"
"2795","Reading","Computer","No sport","No walking","No travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","Cooking","No fishing","F","(35,45]"
"2796","Reading","No computer","No sport","Walking","Travelling","No playing music","No volunteering","No mechanic","Gardening","Knitting","Cooking","No fishing","F","(75,85]"
"2797","Reading","Computer","Sport","No walking","No travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","No cooking","No fishing","M","(25,35]"
"2798","Reading","No computer","No sport","Walking","No travelling","No playing music","No volunteering","No mechanic","Gardening","No knitting","No cooking","No fishing","M","(55,65]"
"2799","Reading","No computer","Sport","No walking","Travelling","No playing music","Volunteering","No mechanic","No gardening","No knitting","No cooking","No fishing","M","(45,55]"
"2800","Reading","Computer","Sport","No walking","Travelling","No playing music","No volunteering","Mechanic","No gardening","No knitting","No cooking","No fishing","M","[15,25]"
"2801","No reading","Computer","Sport","Walking","No travelling","No playing music","No volunteering","No mechanic","Gardening","No knitting","Cooking","Fishing","F","[15,25]"
"2802","No reading","No computer","Sport","No walking","No travelling","No playing music","No volunteering","No mechanic","Gardening","No knitting","No cooking","No fishing","M","(45,55]"
"2803","No reading","No computer","No sport","Walking","No travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","No cooking","Fishing","M","(45,55]"
"2804","No reading","No computer","No sport","No walking","No travelling","No playing music","No volunteering","No mechanic","Gardening","No knitting","Cooking","No fishing","F","(45,55]"
"2805","No reading","No computer","No sport","Walking","No travelling","No playing music","No volunteering","Mechanic","No gardening","Knitting","No cooking","No fishing","F","(45,55]"
"2806","No reading","No computer","No sport","No walking","No travelling","No playing music","No volunteering","No mechanic","No gardening","Knitting","Cooking","Fishing","F","(35,45]"
"2807","Reading","No computer","No sport","Walking","No travelling","No playing music","No volunteering","No mechanic","Gardening","No knitting","No cooking","No fishing","M","(45,55]"
"2808","No reading","No computer","No sport","No walking","No travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","Cooking","No fishing","M","(55,65]"
"2809","Reading","No computer","Sport","No walking","No travelling","No playing music","No volunteering","Mechanic","No gardening","No knitting","Cooking","No fishing","F","(35,45]"
"2810","Reading","Computer","Sport","Walking","No travelling","Playing music","Volunteering","Mechanic","Gardening","No knitting","Cooking","No fishing","F","(35,45]"
"2811","Reading","No computer","No sport","No walking","No travelling","No playing music","No volunteering","No mechanic","Gardening","No knitting","No cooking","Fishing","F","(25,35]"
"2812","Reading","Computer","No sport","Walking","Travelling","No playing music","No volunteering","Mechanic","Gardening","No knitting","No cooking","No fishing","M","(25,35]"
"2813","No reading","Computer","No sport","No walking","No travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","No cooking","No fishing","M","(35,45]"
"2814","No reading","No computer","No sport","No walking","No travelling","No playing music","No volunteering","Mechanic","Gardening","No knitting","No cooking","Fishing","M","(35,45]"
"2815","No reading","No computer","No sport","Walking","Travelling","No playing music","No volunteering","Mechanic","Gardening","No knitting","No cooking","Fishing","M","(55,65]"
"2816","Reading","No computer","No sport","No walking","Travelling","No playing music","No volunteering","Mechanic","Gardening","No knitting","No cooking","No fishing","M","(75,85]"
"2817","No reading","No computer","No sport","No walking","No travelling","No playing music","No volunteering","Mechanic","No gardening","No knitting","Cooking","No fishing","M","(25,35]"
"2818","Reading","No computer","No sport","Walking","Travelling","No playing music","No volunteering","Mechanic","Gardening","No knitting","Cooking","No fishing","M","(55,65]"
"2819","Reading","No computer","No sport","No walking","No travelling","No playing music","No volunteering","No mechanic","Gardening","Knitting","Cooking","No fishing","F","(45,55]"
"2820","No reading","No computer","Sport","Walking","No travelling","No playing music","No volunteering","Mechanic","Gardening","No knitting","No cooking","No fishing","F","(35,45]"
"2821","No reading","Computer","No sport","No walking","No travelling","No playing music","No volunteering","Mechanic","Gardening","No knitting","Cooking","No fishing","M","(45,55]"
"2822","Reading","Computer","No sport","No walking","No travelling","Playing music","No volunteering","No mechanic","No gardening","No knitting","No cooking","No fishing","M","(55,65]"
"2823","Reading","No computer","No sport","No walking","No travelling","Playing music","No volunteering","Mechanic","No gardening","No knitting","Cooking","No fishing","M","(75,85]"
"2824","No reading","No computer","No sport","No walking","No travelling","No playing music","No volunteering","Mechanic","Gardening","No knitting","No cooking","No fishing","M","(65,75]"
"2825","Reading","No computer","No sport","Walking","Travelling","No playing music","No volunteering","Mechanic","Gardening","Knitting","Cooking","No fishing","F","(65,75]"
"2826","Reading","No computer","No sport","Walking","Travelling","No playing music","No volunteering","No mechanic","Gardening","No knitting","Cooking","Fishing","M","(55,65]"
"2827","Reading","No computer","No sport","Walking","No travelling","No playing music","Volunteering","Mechanic","Gardening","No knitting","No cooking","No fishing","M","(65,75]"
"2828","Reading","No computer","No sport","No walking","No travelling","No playing music","No volunteering","Mechanic","No gardening","No knitting","No cooking","No fishing","M","(45,55]"
"2829","Reading","No computer","No sport","Walking","No travelling","No playing music","Volunteering","Mechanic","No gardening","Knitting","No cooking","No fishing","F","(35,45]"
"2830","Reading","No computer","No sport","Walking","No travelling","No playing music","No volunteering","No mechanic","Gardening","No knitting","No cooking","No fishing","F","(35,45]"
"2831","Reading","No computer","Sport","No walking","No travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","Cooking","No fishing","F","(75,85]"
"2832","Reading","Computer","No sport","Walking","No travelling","No playing music","No volunteering","Mechanic","No gardening","No knitting","No cooking","No fishing","M","(45,55]"
"2833","Reading","No computer","No sport","Walking","No travelling","No playing music","No volunteering","No mechanic","Gardening","Knitting","Cooking","No fishing","F","(35,45]"
"2834","Reading","Computer","Sport","Walking","No travelling","Playing music","Volunteering","No mechanic","No gardening","No knitting","Cooking","No fishing","M","[15,25]"
"2835","No reading","Computer","Sport","Walking","Travelling","No playing music","Volunteering","Mechanic","Gardening","No knitting","Cooking","No fishing","M","(35,45]"
"2836","Reading","Computer","Sport","Walking","No travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","No cooking","No fishing","F","(35,45]"
"2837","Reading","Computer","Sport","No walking","No travelling","No playing music","No volunteering","Mechanic","No gardening","No knitting","No cooking","No fishing","M","[15,25]"
"2838","No reading","No computer","Sport","No walking","Travelling","No playing music","No volunteering","No mechanic","Gardening","No knitting","Cooking","Fishing","M","(35,45]"
"2839","Reading","No computer","No sport","No walking","No travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","Cooking","No fishing","F","(65,75]"
"2840","Reading","No computer","Sport","Walking","Travelling","Playing music","Volunteering","No mechanic","Gardening","No knitting","Cooking","No fishing","F","(45,55]"
"2841","Reading","No computer","No sport","Walking","No travelling","Playing music","Volunteering","No mechanic","No gardening","Knitting","Cooking","No fishing","F","(35,45]"
"2842","No reading","No computer","No sport","Walking","No travelling","No playing music","No volunteering","Mechanic","Gardening","No knitting","No cooking","Fishing","M","(25,35]"
"2843","No reading","No computer","No sport","No walking","No travelling","No playing music","No volunteering","Mechanic","No gardening","No knitting","No cooking","No fishing","M","(25,35]"
"2844","No reading","No computer","No sport","No walking","No travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","No cooking","No fishing","M","(75,85]"
"2845","No reading","No computer","No sport","Walking","No travelling","No playing music","No volunteering","Mechanic","No gardening","Knitting","Cooking","No fishing","F","(35,45]"
"2846","Reading","Computer","Sport","Walking","No travelling","No playing music","No volunteering","Mechanic","Gardening","No knitting","Cooking","Fishing","M","(35,45]"
"2847","No reading","Computer","No sport","Walking","Travelling","No playing music","No volunteering","Mechanic","Gardening","No knitting","Cooking","No fishing","M","(45,55]"
"2848","Reading","Computer","Sport","Walking","No travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","No cooking","No fishing","F","[15,25]"
"2849","Reading","No computer","No sport","No walking","No travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","No cooking","No fishing","F","(35,45]"
"2850","No reading","Computer","Sport","Walking","No travelling","Playing music","Volunteering","Mechanic","Gardening","No knitting","No cooking","No fishing","M","[15,25]"
"2851","No reading","No computer","No sport","No walking","No travelling","No playing music","No volunteering","Mechanic","No gardening","No knitting","No cooking","No fishing","M","(55,65]"
"2852","Reading","Computer","No sport","No walking","No travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","Cooking","No fishing","F","(45,55]"
"2853","No reading","No computer","No sport","No walking","No travelling","No playing music","No volunteering","Mechanic","No gardening","No knitting","No cooking","No fishing","M","(35,45]"
"2854","No reading","Computer","No sport","No walking","No travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","No cooking","No fishing","M","(55,65]"
"2855","No reading","No computer","Sport","No walking","No travelling","Playing music","No volunteering","No mechanic","No gardening","No knitting","Cooking","No fishing","M","(25,35]"
"2856","No reading","Computer","Sport","No walking","No travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","No cooking","No fishing","M","(25,35]"
"2857","No reading","No computer","No sport","No walking","No travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","No cooking","No fishing","F","[15,25]"
"2858","Reading","No computer","No sport","Walking","No travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","No cooking","No fishing","F","(45,55]"
"2859","Reading","No computer","No sport","Walking","No travelling","No playing music","No volunteering","No mechanic","No gardening","Knitting","Cooking","No fishing","F","(45,55]"
"2860","No reading","No computer","No sport","No walking","No travelling","No playing music","No volunteering","Mechanic","No gardening","No knitting","No cooking","No fishing","M","[15,25]"
"2861","No reading","No computer","Sport","No walking","No travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","No cooking","No fishing","M","(35,45]"
"2862","Reading","No computer","No sport","No walking","No travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","No cooking","Fishing","M","(45,55]"
"2863","No reading","No computer","Sport","Walking","Travelling","Playing music","Volunteering","Mechanic","No gardening","Knitting","Cooking","No fishing","F","(45,55]"
"2864","No reading","No computer","Sport","Walking","No travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","No cooking","No fishing","F","(25,35]"
"2865","Reading","Computer","Sport","Walking","Travelling","Playing music","Volunteering","Mechanic","Gardening","Knitting","Cooking","No fishing","F","(35,45]"
"2866","No reading","No computer","Sport","Walking","Travelling","No playing music","No volunteering","No mechanic","Gardening","No knitting","No cooking","No fishing","M","(55,65]"
"2867","No reading","No computer","Sport","No walking","Travelling","Playing music","Volunteering","Mechanic","Gardening","No knitting","No cooking","No fishing","F","(65,75]"
"2868","Reading","No computer","No sport","No walking","No travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","No cooking","No fishing","M","(55,65]"
"2869","No reading","Computer","No sport","No walking","No travelling","Playing music","No volunteering","No mechanic","No gardening","No knitting","No cooking","No fishing","F","(45,55]"
"2870","Reading","No computer","No sport","Walking","Travelling","Playing music","Volunteering","Mechanic","Gardening","No knitting","Cooking","No fishing","F","(45,55]"
"2871","Reading","Computer","Sport","No walking","Travelling","No playing music","Volunteering","No mechanic","No gardening","No knitting","No cooking","No fishing","M","[15,25]"
"2872","Reading","Computer","No sport","No walking","No travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","Cooking","No fishing","F","(35,45]"
"2873","No reading","No computer","Sport","Walking","No travelling","Playing music","Volunteering","Mechanic","Gardening","Knitting","No cooking","No fishing","F","(65,75]"
"2874","No reading","No computer","Sport","Walking","No travelling","No playing music","No volunteering","Mechanic","Gardening","No knitting","Cooking","No fishing","F","(35,45]"
"2875","Reading","No computer","No sport","Walking","No travelling","No playing music","No volunteering","No mechanic","Gardening","No knitting","Cooking","No fishing","F","(55,65]"
"2876","No reading","No computer","No sport","No walking","No travelling","No playing music","Volunteering","No mechanic","No gardening","No knitting","No cooking","No fishing","M","(35,45]"
"2877","No reading","No computer","No sport","No walking","Travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","No cooking","No fishing","F","[15,25]"
"2878","No reading","No computer","No sport","No walking","No travelling","No playing music","No volunteering","Mechanic","Gardening","No knitting","No cooking","No fishing","M","(75,85]"
"2879","No reading","No computer","No sport","Walking","Travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","No cooking","No fishing","F","(35,45]"
"2880","No reading","No computer","No sport","No walking","No travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","No cooking","Fishing","M","(25,35]"
"2881","Reading","No computer","No sport","Walking","Travelling","No playing music","No volunteering","Mechanic","No gardening","No knitting","Cooking","No fishing","M","(45,55]"
"2882","No reading","No computer","No sport","No walking","No travelling","No playing music","No volunteering","Mechanic","No gardening","No knitting","Cooking","No fishing","F","[15,25]"
"2883","No reading","No computer","No sport","Walking","No travelling","No playing music","No volunteering","No mechanic","No gardening","Knitting","Cooking","No fishing","F","(55,65]"
"2884","Reading","No computer","No sport","Walking","Travelling","No playing music","No volunteering","No mechanic","Gardening","Knitting","No cooking","No fishing","F","(65,75]"
"2885","Reading","Computer","Sport","No walking","No travelling","No playing music","No volunteering","Mechanic","Gardening","No knitting","No cooking","No fishing","F","(35,45]"
"2886","No reading","No computer","No sport","Walking","No travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","No cooking","No fishing","M","(75,85]"
"2887","No reading","Computer","Sport","Walking","No travelling","Playing music","Volunteering","Mechanic","No gardening","No knitting","Cooking","No fishing","F","[15,25]"
"2888","No reading","Computer","No sport","Walking","No travelling","No playing music","No volunteering","Mechanic","No gardening","No knitting","Cooking","No fishing","M","(25,35]"
"2889","Reading","No computer","No sport","No walking","No travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","No cooking","No fishing","F","(65,75]"
"2890","No reading","No computer","No sport","No walking","No travelling","No playing music","No volunteering","Mechanic","Gardening","No knitting","Cooking","No fishing","M","(65,75]"
"2891","Reading","No computer","No sport","Walking","No travelling","Playing music","Volunteering","No mechanic","Gardening","No knitting","Cooking","No fishing","F","(35,45]"
"2892","Reading","No computer","No sport","Walking","No travelling","No playing music","No volunteering","No mechanic","Gardening","No knitting","No cooking","No fishing","F","(65,75]"
"2893","No reading","No computer","Sport","No walking","Travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","No cooking","No fishing","M","[15,25]"
"2894","Reading","No computer","No sport","Walking","No travelling","Playing music","No volunteering","No mechanic","Gardening","No knitting","Cooking","No fishing","F","(25,35]"
"2895","Reading","No computer","Sport","Walking","Travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","Cooking","No fishing","F","(55,65]"
"2896","Reading","No computer","Sport","No walking","Travelling","No playing music","No volunteering","Mechanic","Gardening","No knitting","Cooking","No fishing","F","(35,45]"
"2897","Reading","Computer","Sport","No walking","Travelling","Playing music","Volunteering","Mechanic","No gardening","No knitting","Cooking","No fishing","M","(25,35]"
"2898","Reading","No computer","No sport","No walking","No travelling","No playing music","No volunteering","No mechanic","Gardening","No knitting","No cooking","No fishing","F","(25,35]"
"2899","Reading","No computer","No sport","No walking","No travelling","No playing music","No volunteering","Mechanic","Gardening","No knitting","Cooking","Fishing","M","(55,65]"
"2900","No reading","No computer","No sport","No walking","No travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","No cooking","No fishing","M","(45,55]"
"2901","Reading","Computer","No sport","Walking","No travelling","No playing music","No volunteering","No mechanic","Gardening","No knitting","Cooking","No fishing","F","(45,55]"
"2902","No reading","No computer","No sport","Walking","Travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","Cooking","No fishing","F","(55,65]"
"2903","No reading","No computer","No sport","No walking","No travelling","No playing music","Volunteering","No mechanic","No gardening","No knitting","No cooking","No fishing","F","[15,25]"
"2904","No reading","No computer","No sport","No walking","No travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","Cooking","No fishing","F","(45,55]"
"2905","Reading","No computer","No sport","Walking","No travelling","Playing music","No volunteering","Mechanic","Gardening","Knitting","Cooking","No fishing","F","(45,55]"
"2906","Reading","Computer","No sport","No walking","No travelling","No playing music","Volunteering","No mechanic","No gardening","Knitting","No cooking","No fishing","F","(35,45]"
"2907","No reading","No computer","Sport","No walking","No travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","No cooking","No fishing","M","(45,55]"
"2908","No reading","No computer","No sport","Walking","Travelling","No playing music","No volunteering","Mechanic","No gardening","No knitting","No cooking","No fishing","F","(65,75]"
"2909","No reading","Computer","Sport","No walking","No travelling","No playing music","No volunteering","Mechanic","No gardening","No knitting","No cooking","No fishing","M","[15,25]"
"2910","Reading","Computer","No sport","No walking","No travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","No cooking","No fishing","F","(55,65]"
"2911","No reading","No computer","No sport","Walking","No travelling","No playing music","No volunteering","No mechanic","Gardening","No knitting","Cooking","No fishing","F","(45,55]"
"2912","No reading","Computer","No sport","No walking","No travelling","No playing music","No volunteering","No mechanic","Gardening","No knitting","No cooking","No fishing","F","(35,45]"
"2913","No reading","No computer","No sport","Walking","No travelling","No playing music","No volunteering","No mechanic","Gardening","No knitting","No cooking","No fishing","M","(45,55]"
"2914","Reading","No computer","Sport","No walking","No travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","No cooking","No fishing","F","(25,35]"
"2915","Reading","No computer","No sport","Walking","Travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","No cooking","No fishing","F","(65,75]"
"2916","Reading","No computer","No sport","No walking","No travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","No cooking","No fishing","F","(55,65]"
"2917","Reading","No computer","No sport","Walking","No travelling","No playing music","No volunteering","No mechanic","Gardening","Knitting","No cooking","No fishing","F","(65,75]"
"2918","No reading","No computer","No sport","Walking","Travelling","Playing music","No volunteering","No mechanic","No gardening","No knitting","No cooking","No fishing","M","(45,55]"
"2919","No reading","Computer","No sport","No walking","No travelling","No playing music","No volunteering","Mechanic","No gardening","No knitting","No cooking","No fishing","M","(35,45]"
"2920","No reading","No computer","No sport","No walking","Travelling","Playing music","No volunteering","No mechanic","No gardening","No knitting","No cooking","No fishing","M","(25,35]"
"2921","No reading","No computer","Sport","Walking","Travelling","No playing music","Volunteering","No mechanic","No gardening","No knitting","No cooking","No fishing","M","(65,75]"
"2922","Reading","No computer","No sport","No walking","Travelling","No playing music","No volunteering","No mechanic","Gardening","Knitting","Cooking","No fishing","F","(65,75]"
"2923","Reading","No computer","Sport","Walking","No travelling","Playing music","No volunteering","No mechanic","No gardening","No knitting","No cooking","No fishing","F","(35,45]"
"2924","No reading","No computer","Sport","No walking","Travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","No cooking","No fishing","F","(75,85]"
"2925","No reading","No computer","No sport","No walking","No travelling","No playing music","No volunteering","Mechanic","Gardening","No knitting","No cooking","No fishing","M","(65,75]"
"2926","Reading","Computer","No sport","No walking","No travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","No cooking","No fishing","F","(35,45]"
"2927","Reading","No computer","Sport","Walking","Travelling","No playing music","Volunteering","Mechanic","Gardening","No knitting","Cooking","No fishing","F","(55,65]"
"2928","No reading","No computer","No sport","No walking","No travelling","No playing music","No volunteering","Mechanic","Gardening","No knitting","No cooking","No fishing","M","(25,35]"
"2929","Reading","No computer","Sport","Walking","No travelling","Playing music","No volunteering","Mechanic","Gardening","No knitting","No cooking","No fishing","M","[15,25]"
"2930","No reading","No computer","Sport","No walking","No travelling","No playing music","No volunteering","Mechanic","Gardening","No knitting","Cooking","No fishing","M","(55,65]"
"2931","Reading","No computer","No sport","Walking","No travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","No cooking","No fishing","F","(25,35]"
"2932","Reading","Computer","No sport","Walking","No travelling","No playing music","No volunteering","No mechanic","Gardening","Knitting","No cooking","No fishing","F","(25,35]"
"2933","Reading","No computer","No sport","No walking","No travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","No cooking","No fishing","F","(25,35]"
"2934","Reading","No computer","No sport","Walking","No travelling","No playing music","No volunteering","Mechanic","No gardening","No knitting","No cooking","No fishing","M","(45,55]"
"2935","No reading","No computer","Sport","Walking","No travelling","No playing music","No volunteering","Mechanic","Gardening","No knitting","Cooking","No fishing","F","(25,35]"
"2936","No reading","No computer","No sport","No walking","Travelling","No playing music","No volunteering","No mechanic","No gardening","Knitting","No cooking","No fishing","F","(75,85]"
"2937","Reading","No computer","No sport","No walking","No travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","No cooking","No fishing","M","(75,85]"
"2938","No reading","No computer","No sport","No walking","No travelling","No playing music","No volunteering","No mechanic","Gardening","No knitting","No cooking","Fishing","M","(45,55]"
"2939","Reading","No computer","No sport","Walking","No travelling","No playing music","No volunteering","No mechanic","No gardening","Knitting","Cooking","No fishing","F","(45,55]"
"2940","No reading","No computer","No sport","Walking","No travelling","No playing music","No volunteering","No mechanic","Gardening","No knitting","No cooking","Fishing","M","(55,65]"
"2941","Reading","No computer","No sport","Walking","Travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","No cooking","No fishing","F","(55,65]"
"2942","No reading","No computer","No sport","Walking","No travelling","No playing music","Volunteering","Mechanic","No gardening","No knitting","No cooking","Fishing","M","(55,65]"
"2943","No reading","No computer","No sport","Walking","Travelling","No playing music","No volunteering","No mechanic","Gardening","No knitting","Cooking","No fishing","F","(45,55]"
"2944","Reading","Computer","Sport","No walking","No travelling","No playing music","No volunteering","No mechanic","No gardening","Knitting","No cooking","No fishing","F","(35,45]"
"2945","Reading","No computer","No sport","No walking","No travelling","No playing music","No volunteering","No mechanic","Gardening","No knitting","Cooking","No fishing","F","(45,55]"
"2946","No reading","Computer","Sport","No walking","No travelling","Playing music","No volunteering","No mechanic","No gardening","No knitting","No cooking","No fishing","M","(45,55]"
"2947","No reading","No computer","No sport","No walking","Travelling","No playing music","No volunteering","No mechanic","Gardening","Knitting","Cooking","No fishing","F","(75,85]"
"2948","Reading","Computer","No sport","No walking","No travelling","No playing music","No volunteering","Mechanic","Gardening","No knitting","No cooking","No fishing","F","(55,65]"
"2949","Reading","Computer","Sport","Walking","No travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","Cooking","No fishing","M","(25,35]"
"2950","No reading","Computer","Sport","Walking","Travelling","No playing music","No volunteering","Mechanic","Gardening","No knitting","Cooking","Fishing","M","(25,35]"
"2951","No reading","No computer","No sport","No walking","No travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","No cooking","No fishing","F","(55,65]"
"2952","No reading","No computer","No sport","No walking","Travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","Cooking","No fishing","M","(75,85]"
"2953","Reading","Computer","No sport","Walking","Travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","No cooking","No fishing","F","(25,35]"
"2954","No reading","Computer","No sport","Walking","No travelling","No playing music","No volunteering","No mechanic","Gardening","No knitting","No cooking","No fishing","M","(45,55]"
"2955","No reading","Computer","Sport","Walking","Travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","Cooking","Fishing","M","(35,45]"
"2956","No reading","No computer","No sport","Walking","Travelling","No playing music","No volunteering","No mechanic","No gardening","Knitting","No cooking","No fishing","F","(45,55]"
"2957","No reading","No computer","No sport","No walking","No travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","No cooking","No fishing","M","(55,65]"
"2958","Reading","No computer","Sport","Walking","Travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","Cooking","No fishing","F","(55,65]"
"2959","Reading","Computer","Sport","Walking","Travelling","No playing music","No volunteering","No mechanic","Gardening","No knitting","Cooking","Fishing","M","(25,35]"
"2960","Reading","No computer","Sport","Walking","Travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","No cooking","No fishing","F","(25,35]"
"2961","Reading","Computer","No sport","No walking","Travelling","Playing music","No volunteering","No mechanic","No gardening","No knitting","Cooking","No fishing","F","(45,55]"
"2962","Reading","No computer","No sport","No walking","Travelling","No playing music","No volunteering","No mechanic","Gardening","Knitting","No cooking","No fishing","F","(55,65]"
"2963","Reading","No computer","Sport","No walking","Travelling","No playing music","Volunteering","No mechanic","No gardening","Knitting","Cooking","No fishing","F","(55,65]"
"2964","No reading","Computer","No sport","Walking","No travelling","Playing music","No volunteering","Mechanic","Gardening","No knitting","No cooking","Fishing","M","(45,55]"
"2965","No reading","Computer","No sport","Walking","Travelling","No playing music","Volunteering","No mechanic","Gardening","No knitting","Cooking","Fishing","M","(45,55]"
"2966","Reading","No computer","Sport","Walking","Travelling","No playing music","No volunteering","Mechanic","Gardening","No knitting","No cooking","No fishing","F","(35,45]"
"2967","Reading","Computer","Sport","Walking","Travelling","Playing music","No volunteering","Mechanic","No gardening","No knitting","Cooking","No fishing","M","(35,45]"
"2968","No reading","No computer","No sport","Walking","No travelling","No playing music","Volunteering","No mechanic","Gardening","No knitting","Cooking","No fishing","F","(35,45]"
"2969","No reading","No computer","No sport","Walking","Travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","Cooking","No fishing","M","(55,65]"
"2970","No reading","No computer","No sport","No walking","No travelling","No playing music","Volunteering","Mechanic","No gardening","No knitting","Cooking","Fishing","M","(25,35]"
"2971","Reading","No computer","No sport","Walking","No travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","No cooking","No fishing","F","(45,55]"
"2972","No reading","No computer","No sport","No walking","No travelling","No playing music","No volunteering","Mechanic","Gardening","No knitting","No cooking","No fishing","M","(45,55]"
"2973","Reading","No computer","No sport","No walking","No travelling","No playing music","No volunteering","No mechanic","Gardening","Knitting","Cooking","No fishing","F","(45,55]"
"2974","Reading","No computer","No sport","Walking","No travelling","Playing music","No volunteering","No mechanic","No gardening","Knitting","No cooking","No fishing","F","(55,65]"
"2975","Reading","No computer","Sport","No walking","Travelling","Playing music","Volunteering","No mechanic","Gardening","No knitting","No cooking","No fishing","M","(65,75]"
"2976","No reading","No computer","No sport","Walking","No travelling","No playing music","Volunteering","No mechanic","Gardening","No knitting","No cooking","No fishing","M","(65,75]"
"2977","No reading","No computer","No sport","Walking","No travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","Cooking","No fishing","F","(55,65]"
"2978","No reading","No computer","No sport","No walking","No travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","No cooking","No fishing","F","(55,65]"
"2979","Reading","Computer","Sport","No walking","No travelling","No playing music","Volunteering","No mechanic","Gardening","No knitting","No cooking","No fishing","M","(45,55]"
"2980","Reading","No computer","No sport","Walking","No travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","No cooking","No fishing","M","(45,55]"
"2981","No reading","No computer","No sport","No walking","No travelling","No playing music","No volunteering","Mechanic","Gardening","No knitting","No cooking","No fishing","M","(45,55]"
"2982","No reading","Computer","Sport","Walking","No travelling","No playing music","No volunteering","No mechanic","Gardening","No knitting","Cooking","Fishing","F","(25,35]"
"2983","Reading","No computer","No sport","Walking","Travelling","Playing music","Volunteering","Mechanic","No gardening","No knitting","Cooking","No fishing","M","(45,55]"
"2984","Reading","No computer","No sport","Walking","Travelling","No playing music","No volunteering","Mechanic","No gardening","No knitting","Cooking","No fishing","F","(45,55]"
"2985","No reading","No computer","Sport","Walking","Travelling","No playing music","No volunteering","Mechanic","Gardening","No knitting","Cooking","No fishing","M","(65,75]"
"2986","Reading","Computer","Sport","Walking","Travelling","Playing music","No volunteering","Mechanic","Gardening","No knitting","Cooking","No fishing","M","(35,45]"
"2987","Reading","No computer","No sport","No walking","No travelling","No playing music","No volunteering","Mechanic","No gardening","No knitting","No cooking","No fishing","M","(55,65]"
